car_brand,car_model,lead_id,marketplace_id,marketplace_car_id,used_dealer_company_id,dealer_id,car_variant,car_engine,car_year,car_transmission,reserveprice,car_age,car_type,avg_reserveprice,brand_price_label
audi,3,941837,141284,296390,1034,1060,no variant,2,2014,Auto,200000000,11,Sedan,150046875,Medium
audi,a4,940922,141281,295672,1718,1767,no variant,2.6,2011,Auto,98500000,14,Sedan,150046875,Medium
audi,a4,943258,141288,297295,4279,4387,no variant,2.6,2014,Auto,175000000,11,Sedan,150046875,Medium
audi,a4,941193,141278,295226,4279,4387,no variant,2.6,2005,Auto,46000000,20,Sedan,150046875,Medium
audi,a4,941837,141284,296390,4296,4404,no variant,2.6,2014,Auto,200000000,11,Sedan,150046875,Medium
audi,a4,920893,141254,291006,5406,5514,no variant,2.6,2011,Auto,98500000,14,Sedan,150046875,Medium
audi,a4,945365,141288,297398,2533,2604,no variant,2.6,2009,Auto,125000000,16,Sedan,150046875,Medium
audi,a4,932828,141260,291688,4461,4569,no variant,2.6,2011,Auto,98500000,14,Sedan,150046875,Medium
audi,a4,680187,141257,290910,4596,4704,no variant,2.6,1997,Auto,9500000,28,Sedan,150046875,Medium
audi,a4,920893,141254,290205,3761,3869,no variant,2.6,2011,Auto,98500000,14,Sedan,150046875,Medium
audi,a6,946315,141299,299349,5103,5211,tfsi,2,2014,Auto,200000000,11,Sedan,150046875,Medium
audi,a6,933330,141267,292945,3887,3995,tfsi (ckd),2,2002,Manual,30000000,23,Sedan,150046875,Medium
audi,a6,941837,141284,296390,1034,1060,tfsi,2,2014,Auto,200000000,11,Sedan,150046875,Medium
audi,a6,936239,141267,292947,1735,1784,tfsi,2,2013,Auto,350000000,12,Sedan,150046875,Medium
audi,a6,941837,141284,296390,5387,5491,tfsi (ckd),2,2014,Auto,200000000,11,Sedan,150046875,Medium
audi,a6,948478,141296,298593,4330,4438,tfsi (ckd),2,2012,Auto,500000000,13,Sedan,150046875,Medium
audi,a6,941837,141284,296430,4277,4385,tfsi,2,2014,Auto,200000000,11,Sedan,150046875,Medium
audi,a6,934468,141265,292813,5205,5313,tfsi,2,2009,Auto,100000000,16,Sedan,150046875,Medium
audi,a6,950399,141300,299712,4471,4579,tfsi (ckd),2,1995,Manual,20000000,30,Sedan,150046875,Medium
audi,a6,931734,141258,291224,5628,5736,tfsi (ckd),2,2009,Auto,55000000,16,Sedan,150046875,Medium
audi,a6,941111,141284,296456,4153,4261,tfsi (ckd),2,2011,Auto,98500000,14,Sedan,150046875,Medium
audi,a6,929107,141260,291557,4556,4664,tfsi (ckd),2,2017,Auto,115500000,8,Sedan,150046875,Medium
audi,a6,926421,141258,291208,5628,5736,tfsi,2,2019,Auto,320000000,6,Sedan,150046875,Medium
audi,a6,937736,141273,294250,4900,5008,tfsi,2,2018,Auto,320000000,7,Sedan,150046875,Medium
audi,a6,940922,141281,295672,4591,4699,tfsi (ckd),2,2011,Auto,98500000,14,Sedan,150046875,Medium
audi,a6,919991,141248,288937,4330,4438,tfsi,2,2011,Auto,98500000,14,Sedan,150046875,Medium
audi,a6,941837,141284,296430,4251,4359,tfsi (ckd),2,2014,Auto,200000000,11,Sedan,150046875,Medium
audi,a6,944579,141285,296542,2625,2698,tfsi (ckd),2,2010,Auto,150000000,15,Sedan,150046875,Medium
audi,a6,947216,141294,298481,5264,5372,tfsi (ckd),2,2009,Auto,100000000,16,Sedan,150046875,Medium
audi,a7,930498,141261,291985,1580,1629,tfsi,2.6,2010,Auto,99000000,15,Sedan,150046875,Medium
audi,a7,920893,141254,290205,1101,1149,tfsi (ckd),2.6,2011,Auto,98500000,14,Sedan,150046875,Medium
audi,a7,943452,141284,296502,2533,2604,l,2.6,2011,Auto,98500000,14,Sedan,150046875,Medium
bmw,1,944408,141300,299665,3362,3456,23i,2.5,2005,Auto,70000000,20,Sedan,213290084.4,High
bmw,3,944693,141288,297283,4251,4359,20i,2,2017,Auto,400000000,8,Sedan,213290084.4,High
bmw,3,938855,141275,294645,190,176,20i e90 (ckd),2,2012,Auto,99000000,13,Sedan,213290084.4,High
bmw,3,947701,141298,299272,4548,4656,20i e30,2,2010,Auto,99000000,15,Sedan,213290084.4,High
bmw,3,937001,141272,294023,5595,5703,18i,2,2006,Auto,80000000,19,Sedan,213290084.4,High
bmw,3,940939,141281,295674,2459,2517,20i e90 (ckd),2,2010,Auto,99000000,15,Sedan,213290084.4,High
bmw,3,941306,141281,295733,4277,4385,18i,1.9,2002,Auto,55000000,23,Sedan,213290084.4,High
bmw,3,938070,141275,294736,4251,4359,18i,2,2003,Auto,60000000,22,Sedan,213290084.4,High
bmw,3,941471,141287,296992,1068,1095,20i (ckd),2,2010,Auto,130000000,15,Sedan,213290084.4,High
bmw,3,934326,141270,293507,4992,5100,18i,2,2007,Auto,65000000,18,Sedan,213290084.4,High
bmw,3,930738,141258,291009,3774,3882,20i e90 (ckd),2,2006,Auto,85000000,19,Sedan,213290084.4,High
bmw,3,943231,141299,299497,4461,4569,20i,2,2017,Auto,400000000,8,Sedan,213290084.4,High
bmw,3,945025,141287,297132,4797,4905,20i,2,2017,Auto,400000000,8,Sedan,213290084.4,High
bmw,3,926421,141258,291215,5142,5250,20i (ckd),2,2019,Auto,320000000,6,Sedan,213290084.4,High
bmw,3,931963,141258,291110,1407,1456,20i,2,2019,Auto,900000000,6,Sedan,213290084.4,High
bmw,3,950796,141300,299611,2625,2698,18i,2,2003,Auto,40000000,22,Sedan,213290084.4,High
bmw,3,950010,141298,299280,2625,2698,25i,2.5,2010,Auto,200000000,15,Sedan,213290084.4,High
bmw,3,927751,141257,290950,4276,4384,20i e90 (ckd),2,2010,Auto,99000000,15,Sedan,213290084.4,High
bmw,3,924152,141292,298246,5033,5141,20i (ckd),2,2010,Manual,100000000,15,Sedan,213290084.4,High
bmw,3,941471,141297,298887,1240,1289,20i (ckd),2,2010,Auto,130000000,15,Sedan,213290084.4,High
bmw,3,947701,141298,299272,3663,3771,20i e,2,2010,Auto,99000000,15,Sedan,213290084.4,High
bmw,3,943393,141287,297044,5205,5313,20i,2,2017,Auto,400000000,8,Sedan,213290084.4,High
bmw,3,933679,141262,292110,3590,3698,20i (ckd),2,2016,Auto,385000000,9,Sedan,213290084.4,High
bmw,3,926671,141260,291563,3590,3698,20i (ckd),2,2020,Auto,700000000,5,Sedan,213290084.4,High
bmw,3,931306,141259,291301,4344,4452,20i (ckd),2,2007,Auto,100000000,18,Sedan,213290084.4,High
bmw,3,950072,141300,299714,4471,4579,18i,2,2003,Auto,50000000,22,Sedan,213290084.4,High
bmw,3,941309,141281,295688,2533,2604,18i,2,2002,Auto,45000000,23,Sedan,213290084.4,High
bmw,3,938461,141262,292087,3605,3713,20i,2,2017,Auto,400000000,8,Sedan,213290084.4,High
bmw,3,588178,141253,289854,4797,4905,20i (ckd),2,2012,Auto,150000000,13,Sedan,213290084.4,High
bmw,3,940819,141279,295529,2855,2934,20i,2,2017,Auto,400000000,8,Sedan,213290084.4,High
bmw,3,94538,141287,297017,1735,1784,25i,2.5,2005,Auto,50000000,20,Sedan,213290084.4,High
bmw,3,948225,141298,299328,1580,1629,20i (ckd),2,2012,Auto,130000000,13,Sedan,213290084.4,High
bmw,3,942136,141281,295680,5230,5338,20i e90 (ckd),2,2010,Auto,99000000,15,Sedan,213290084.4,High
bmw,3,947701,141297,298886,3852,3960,20i (ckd),2,2010,Auto,99000000,15,Sedan,213290084.4,High
bmw,3,940796,141286,296796,1034,1060,25i,2.5,2012,Auto,150000000,13,Sedan,213290084.4,High
bmw,3,926175,141255,290288,4608,4716,18i,2,2003,Auto,60000000,22,Sedan,213290084.4,High
bmw,3,940936,141300,299525,5239,5347,20i e90 (ckd),2,2010,Auto,99000000,15,Sedan,213290084.4,High
bmw,3,932726,141300,299691,1473,1522,20i e90 (ckd),2,2011,Auto,98500000,14,Sedan,213290084.4,High
bmw,3,941306,141281,295733,4294,4402,18i,2,2002,Auto,60000000,23,Sedan,213290084.4,High
bmw,3,918191,141300,299672,1580,1629,20i (ckd),2,2017,Auto,790000000,8,Sedan,213290084.4,High
